"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-03","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16752.5","","","","1"
"2009-04","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16709.5","","","","1"
"2009-05","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16683.5","","","","1"
"2009-06","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16674.1","","","","1"
"2009-07","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16674.6","","","","1"
"2009-08","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16682.9","","","","1"
"2009-09","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16710.7","","","","1"
"2009-10","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16718.4","","","","1"
"2009-11","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16799.0","","","","1"
"2009-12","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16783.7","","","","1"
"2010-01","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16828.3","","","","1"
"2010-02","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16845.5","","","","1"
"2010-03","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16857.9","","","","1"
"2010-04","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16934.6","","","","1"
"2010-05","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","16949.5","","","","1"
"2010-06","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","17019.7","","","","1"
"2010-07","Canada","2016A000011124","Employment","Total, all industries","Estimate","Persons","249","thousands","3","v13682073","1.2.1.1","17010.9","","","","1"
